VENDOR INFO,Address 1,Address 2,SCAC,MC#,Insurance,Website,CONTACT/TITLE,PHONE,MOBILE ,EMAIL ,TRK BASE STATE ,BASE ZIP,USDOT,COMMENTS,BONDED & FTZ,LOCAL,DIRECT DRAY,OTR,OTHER,All/Nationwide,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,DC
JAG TRANSPORT INC.,1700 S. Newkirk Street,"Baltimore, MD 21224",NA,526849,,,William Childers Jr.,410-633-5530,,jagtransport@netzero.com,MD,21224,1381861,,FALSE,TRUE,TRUE,TRUE,Intermodal; Hazmat; Port Trucking; Flatbed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
JZI Intermodal Logistics,1111 Imeson Park Boulevard,"Jacksonville, FL 32218", JZEX,NA,,www.jzexpcompanies.com,Operations Team,904-674-6886; +1 (904) 527-3902; (201) 398-3033,,info@jzexpcompanies.com,FL,32218,3210343 ,,TRUE,TRUE,TRUE,TRUE,HAZMAT; Intermodal; NVOCC; Bonded; FTZ Storage,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
J&F REYES TRUCKING LLC,5213 EASTERN AVENUE,"HYATTSVILLE, MD 20782",NA,881654,,No WEBSITE,Santos,(240) 423-3660,,containers@jfreyes.com,MD,20782,2535242,,FALSE,TRUE,TRUE,TRUE,Intermodal; General freight,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,Y,,,,,Y
KING OF FREIGHT,P.O. BOX 49170,"WICHITA, KS 67201",NA,829927,,kingsoffreight.com ,Joshua Hoffman –Sr. Logistics Coordinator,316-413-2117; 316-530-8312; (316) 530-8000,620-560-1316,jhoffman@kingoffreight.com,KS,67201,2247473,,FALSE,FALSE,FALSE,TRUE,3PL / brokerage,,,,,,Y,,,,,Y,,,,Y,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,Y,,
LINAS TRANSPORT LLC,9811 Caltor Lane,"Fort Washington, MD 20744",NA,1307675,,No WEBSITE,Operations / Dispatch,240-432-3099,(240) 432-3099,linastransportllc2019@gmail.com,MD,20744,3714877,,FALSE,TRUE,TRUE,TRUE,Intermodal; Container Freight,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,Y
Logistic Dynamics (LDI),P.O. Box 675297,"Detroit, MI 48267-5297", LDIQ,403266,,www.logisticdynamics.com,Carrier Sales / Operations,1-800-554-3734 Ext. 1307,,,MI,48267,2235859,,FALSE,FALSE,TRUE,TRUE,Brokerage; 3PL; Intermodal; Cross-Border,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"MACKENZIE & PAIGE LOGISTICS, LLC",7900 Tanners Gate Ln,"FLORENCE, KY 41042",NA,764809,,www.mandplogistics.com,Christopher Montello,(859) 282-0402,,support@mandplogistics.com; cmontello@mandplogistics.com,KY,41042,2249920,,TRUE,FALSE,FALSE,TRUE,"FTL, LTL, drayage; Brokerage / 3PL",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MTM Trucking & Logistics,"1007 Old Philadelphia Rd 500,"," Aberdeen, MD 21001 ",MVNE,822636,,www.mtmtruckinglogistics.com,Taylor Santiago; Judy Santiago; Taylor Dangerfield,443-303-3180; 667-228-5000,443-686-7074; (571) 337-6003,taylor@mtmtruckinglogistics.com; judy@mtmtruckinglogistics.com; t.dangerfield@mtmtruckinglogistics.com,MD,21001,983069,,TRUE,TRUE,TRUE,TRUE,Dry van / regional,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,Y,,,,,Y,,Y,,,,,,Y,,Y,,,
"Nova Connect, LLC",118 S. County Line Road,"Hinsdale, IL 60521",NA,1619373,,www.novaconnect.us,Darryl Popa,331-248-1662; (331) 251-3355,,ar@novaconnect.us; darryl.p@novaconnect.us; hello@novaconnect.us,IL,60521,4198698,,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,Y,Y,Y,,Y,,,,,Y,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,
"Payne Logistics, LLC",10411 Hall Industral Drive,"Fredericksburg, VA 22408",NA,1588803,,www.paynelogistic.federalgovernment.info,Brad Maxwell; Christopher Payne,540-898-0045; 571-776-9336; 540) 898-3750,8048922489,bmaxwell@paynelogistics.net; payne.logistics.md@gmail.com,VA,22408,4142870,,FALSE,TRUE,TRUE,TRUE,Dry van; General freight,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,Y,,Y,,Y,,,,Y,,Y,,,Y
Ports America Chesapeake,"6605 F St, ","Baltimore, MD 21222", NA, NA,,www.portsamerica.com,"Mark Montgomery, President & CEO",800-950-7242; (410) 649-7606,,mark.montgomery@portsamerica.com,MD,21224,,Port terminal operator ,FALSE,FALSE,FALSE,FALSE,Terminal Operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priority 1,P.O. Box 840808,"Dallas, TX 75284-0808",NA,509519,,www.priority1.com,Carrier Sales / Operations,888-569-8035,,info@priority1.com,TX,75284,1306395,,FALSE,TRUE,TRUE,FALSE,"Brokerage, 3PL, LTL; FTL, Intermodal,; Expedited; Warehousing",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"RXO Capacity Solutions, LLC",11215 North Community House Road,"Charlotte, NC 28277", RXOC,223939,,www.rxo.com,"Louis Amo - President, Truck Brokerage; Freight Forwarding; Dedicated Transportation",844-742-5976; (630) 860-7755; (515) 265-6171,,freightbrokerage@rxo.com; GlobalRates@rxo.com; managedtransportation@rxo.com,NC,28277,241829,,FALSE,FALSE,TRUE,TRUE,"Brokerage; Drayage, Last Mile; 3PL, Intermodal; Cross-Border",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SAIA MOTOR FREIGHT LINE, LLC",P.O. BOX 730532,"DALLAS, TX 75373-0532", SAIA,127237,,www.saia.com,,(770) 257-1444,,customerservice@saia.com; claims@saia.com; linedrivers@saia.com,GA,30080,241079,,FALSE,TRUE,TRUE,TRUE,LTL freight / linehaul,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"SalSon Logistics, Inc.",888 Doremus Avenue,"Newark, NJ 07114", SLSN,184567,,www.salson.com ,Salvatore Berritto - President,(973) 986-0200,,sberritto@salson.com; info@salson.com; sales@salson.com; ralph@salson.com,NJ,07114,325862,,TRUE,TRUE,TRUE,TRUE,Intermodal; Dedicated Fleet; Transloading; Distribution,,,,,,,,Y,Y,,Y,,,Y,,,,,,,Y,,,,,,,,,,Y,,Y,,,,,,Y,,Y,,,,,,Y,,,,,
Sea King Logistics,550 Reserve St,"Southlake, TX 76092", SEAC,1627830,,www.seakinglogistics.com,,512-758-6907,,,TX ,76092,OUT-OF-SERVICE ,,FALSE,FALSE,FALSE,TRUE,3PL / brokerage,,,,Y,Y,,Y,,,,,,,,,,Y,,Y,,,,,,,Y,,,,,,Y,,,,,Y,,,,,,,Y,,,,,,,,
SIO Logistics,445 S Kimball Ave,"Southlake, TX 76092",NA,981067,,https//sionow.com,Payne Ercolani,512-758-6907,,payne@sionow.com; sales@sionow.com,TX ,76092,2911684,,FALSE,FALSE,TRUE,TRUE,Brokerage / 3PL; Intermodal,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Square Logistic Solutions,23 Roosevelt Avenue,"Carteret, NJ 07008",NA,1230414,,www.squarelogisticsolutions.com,,888-757-9572,,edward@squarelogisticsolutions.com; info@squarelogisticsolutions.com,NJ,07008,3611691,,FALSE,FALSE,FALSE,TRUE,Dispatch services; Freight brokerage,,,,,,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,,,,,Y,,,,,,,,Y,,,,,
Standard Logistics Solutions LLC,P.O. Box 7247-6705,"Philadelphia, PA 19170",NA,1256347,,www.standardls.com,Carrier Sales / Operations,1-833-739-2008,,transportation@standardls.com,PA,19170,3648047,,FALSE,FALSE,TRUE,TRUE,"Brokerage, 3PL,; Warehousing,; Fulfillment, Flatbed; Dry Van, Tanker; Pneumatic; X-Border Freight",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
STARWOOD GLOBAL LOGISTICS LLC,"10611 RED BLUFF ROAD, SUITE 100","PASADENA, TX 77507 ",NA,1284054,,www.starwood-global.com,,713-956-4850,,operations@starwood-global.com,TX,77507,3686088,,TRUE,FALSE,FALSE,TRUE,Freight brokerage; 3PL,,,,Y,Y,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,,,,,,,Y,,,,,,,,
"TFA Logistics Brokerage, LLC",10448 Dow Gil Rd,"Ashland, VA  23005",NA,203429,,www.truckingforamerica.com,Yonatan Rodriguez,877 945 5623; 804-798-1477; 800-288-8118,,drittenhouse@teamtfa.com,VA,23005, 2213950 ,,FALSE,FALSE,FALSE,TRUE,Brokerage / 3PL,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,Y,,Y,,,Y,,,Y,,Y,,,Y
"TIPTON TRUCKING CO., INC.",397 Waterway Road,"Oxford, PA 19363", TIPP,158105,,www.tiptontrucking.com,Frank Tipton; James,610-932-5120; (610) 932-5200,,frankjr@tiptontrucking.com; james@tiptontrucking.com,PA,19363," 	282773 ",,FALSE,TRUE,TRUE,TRUE,General freight; Flatbed,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,Y,,Y,,,Y,,,,,,,,Y,,Y,,,
TMC Transportation,6115 SW Leland Avenue,"Des Moines, IA 50321", TMCI,115730,,www.tmctrans.com,Zachary Gracey,1-800-247-2460 Ext. 3306; (515) 256-3944,,zachary.gracey@tmctrans.com,IA,50321,87409,,FALSE,TRUE,TRUE,TRUE,Building materials; Flatbed; Heavy haul,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Total Quality Logistics (TQL)     ,P.O. Box 634558,"Cincinnati, OH  45263-4558",NA,322572,,www.tql.com,Takulia Hutton,513-831-2600; 800-580-3101 Opt. 2,659 346 3095,THutton@tql.com; clientservices@tql.com,OH,45263,2223295,,TRUE,FALSE,FALSE,TRUE,3PL nationwide; Truckload; LTL brokerage,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
"TRANSWAYS MOTOR EXPRESS CO., INC.","351 ROOSEVELT AVENUE, UNIT 1","CARTERET, NJ 07008", TRMW,20490,,www.transwaysmotor.com,Andrew Dooley,(732) 634-2900; (732) 442-4630,,andy@transwaymotor.com; dispatch@twme-gerard.com,NJ,07008,535788,,FALSE,TRUE,TRUE,TRUE,Regional freight; Port/container; Drayage,,,,,,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,,,Y,,Y,,,Y,,,Y,,,,,,,,Y,,,,,
TRT INTERMODAL CORPORATION,"1960 Terminal Ct, Joliet, ",IL 60436,NA,938183,,www.trtintermodal.com ,Joe Hora - VP of Sales,708-825-6299,,joe@trtintermodal.com; trtsales@trtintermodal.com,IL,60436,4128104,,FALSE,TRUE,TRUE,TRUE,Intermodal; Transloading; Brokerage; Rail Logistics,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,,,
"US 1 LOGISTICS, LLC",203 Fort Wade Rd Suite 320,"Ponte Vedra Beach, FL 32081",NA," 512290, 511056",,www.us1network.com,,866-618-4592,,arcustsvc@us1logistics.com,FL,32081,1348167,,TRUE,FALSE,FALSE,TRUE,"3PL, brokerage",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
WEIDA FREIGHT SYSTEM INC.,500 E. DEVON AVENUE,"ELK GROVE VILLAGE, IL 60007",NA,1560936,,www.weidafreight.com,Detol Shebarry – Branch Manager,312-756-0880,,ord@weidafreight.com; vito.chiovari@weidafreight.com,IL,60007,3507548,,TRUE,TRUE,TRUE,TRUE,NVOCC; Air/Ocean Freight,,,,,,Y,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,
"WIESE USA, INC.","3500 N 27th St, ","Decatur, IL 62526",NA,NA,,www.wieseusa.com,Don Turk,(217) 875-0700,317-241-8600,dturk@wieseusa.com; info@wieseusa.com,IL,62526,  192626 ,"Material handling 
& forklift solutions provider",FALSE,FALSE,FALSE,FALSE,,,Y,,,Y,,,,,Y,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
"WILLIAMS CRANE SERVICES, INC.",3727 East Joppa Road,"Baltimore, MD 21236",NA,651762,,www.williamscrane.com,Howard G. Williams – President,410-256-6500,,admin@williamscrane.com,MD,21236,275901,Mobile crane & rigging ,FALSE,FALSE,FALSE,FALSE,24/7 crane service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WORLDWIDE LOGISTIC PARTNERS, INC.","1540 Carlemont Drive, Suite J","Crystal Lake, IL 60014",NA,792025,,www.worldwidelp.com,,815-788-1683,,sales@worldwidelp.com; Mcamdar@worldwidelp.com,Il,60014,2327386 ,,TRUE,TRUE,TRUE,TRUE,Ocean Freight; Air Freight; Warehousing; Customs Brokerage; Project Cargo; NVOCC Services,IL,OH,NY,CA,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adroit logistics LLC,901 N MARKET ST SUITE #100,"WILMINGTON, DE 19801",NA,1228588,,www.adroitlogisticsus.com,Emma Willson -Logistics Specialist,(516) 584-2743; (385) 381-0007 Extn-415; (385) 381-0007,,emma@adroitlogisticsus.com; info@adroitlogisticsus.com,DE,19801,3608957,,FALSE,TRUE,TRUE,TRUE,3PL; Drayage; Transloading,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Echo Global Logistics,600 W. Chicago Ave. Suite 200,"Chicago, IL 60654",ECHO,511639,,http//www.echo.com/,Kade Martin - Client Associate,855.SHP.ECHO; 800-354-7993,312.334.2795,kade.martin@echo.com,IL,60654,2233564,,TRUE,TRUE,TRUE,TRUE,"Intermodal, LTL; FTL, Cross-Border; Temp-Controlled; Warehousing",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
All American Freight Broker's Inc.    ,1800 Nations Dr Suite 117,"Gurnee, IL 60031",NA,955516,,www.allamericanfreight.us,Zack S - Lead Operations,1-847-892-7068 Ext: 1012,847-915-6013,zack@allamericanfreight.us,IL,60031,2850334 ,,TRUE,FALSE,TRUE,TRUE,"3PL, FTL, LTL; Brokerage; Dry Van; Cross-Border; Reefer",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,
JMD Logistics Solutions LLC,"2475 North Winds Parkway, Ste 200","Alpharetta, GA 30009",NA,1777946,,jmdlogistics.jmdcompanies.com,Edward Jones - Manager – Operations,470-268-9800 Ext. 502,,edward.j@jmdlogisticsolutions.com,GA,30009,4495970,,FALSE,TRUE,TRUE,TRUE,"FTL & LTL, FCL & LCL; Hazmat; Customs Clearance",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
AP Freight Inc,"4460 W Shaw Ave #620, ","Fresno, CA 93722",NA,1117318,,www.apfreightinc.com ,Alice Miller - Logistic Coordinator,559-398-5555 Ext.108,,Alice@apfreightinc.com,CA,93722,3440592,,TRUE,TRUE,TRUE,TRUE,53’ Dry Van; Reefer; Flatbed; Intermodal; Port Chassis,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,,Y,,,,
